SrNo	Timestamp	Sender's IP	Receiver's IP	Protocol Stack	Packets
383077	56:01.9	173.194.163.90	10.1.10.1	GQUIC	1378
383078	56:01.9	173.194.163.90	10.1.10.1	GQUIC	1378
383079	56:01.9	173.194.163.90	10.1.10.1	GQUIC	1378
383080	56:01.9	173.194.163.90	10.1.10.1	GQUIC	1378
383081	56:01.9	173.194.163.90	10.1.10.1	GQUIC	1378
383082	56:01.9	173.194.163.90	10.1.10.1	GQUIC	1378
383083	56:01.9	173.194.163.90	10.1.10.1	GQUIC	1378
383084	56:01.9	173.194.163.90	10.1.10.1	GQUIC	1378
383085	56:01.9	173.194.163.90	10.1.10.1	GQUIC	1378
383086	56:01.9	173.194.163.90	10.1.10.1	GQUIC	1378
383087	56:01.9	173.194.163.90	10.1.10.1	GQUIC	1378
383088	56:01.9	173.194.163.90	10.1.10.1	GQUIC	1378
383089	56:01.9	173.194.163.90	10.1.10.1	GQUIC	1378
383090	56:01.9	173.194.163.90	10.1.10.1	GQUIC	1378
383091	56:01.9	173.194.163.90	10.1.10.1	GQUIC	1378
383092	56:01.9	173.194.163.90	10.1.10.1	GQUIC	1378
383093	56:01.9	173.194.163.90	10.1.10.1	GQUIC	1378
383094	56:01.9	173.194.163.90	10.1.10.1	GQUIC	1378
383095	56:01.9	173.194.163.90	10.1.10.1	GQUIC	1378
383096	56:01.9	173.194.163.90	10.1.10.1	GQUIC	1378
383097	56:01.9	173.194.163.90	10.1.10.1	GQUIC	1378
383098	56:01.9	173.194.163.90	10.1.10.1	GQUIC	1378
383099	56:01.9	173.194.163.90	10.1.10.1	GQUIC	1378
383100	56:01.9	173.194.163.90	10.1.10.1	GQUIC	1378
383101	56:01.9	173.194.163.90	10.1.10.1	GQUIC	1378
383102	56:01.9	173.194.163.90	10.1.10.1	GQUIC	1378
383103	56:01.9	173.194.163.90	10.1.10.1	GQUIC	1378
383104	56:01.9	173.194.163.90	10.1.10.1	GQUIC	575
383105	56:01.9	10.1.10.1	173.194.163.90	GQUIC	57
383106	56:01.9	10.1.10.1	173.194.163.90	GQUIC	57
383107	56:01.9	10.1.10.1	173.194.163.90	GQUIC	57
383108	56:01.9	10.1.10.1	173.194.163.90	GQUIC	57
383109	56:01.9	10.1.10.1	173.194.163.90	GQUIC	57
383110	56:01.9	10.1.10.1	173.194.163.90	GQUIC	57
383111	56:01.9	10.1.10.1	173.194.163.90	GQUIC	57
383112	56:01.9	10.1.10.1	173.194.163.90	GQUIC	57
383113	56:01.9	10.1.10.1	173.194.163.90	GQUIC	57
383114	56:01.9	173.194.163.90	10.1.10.1	GQUIC	1371
383115	56:01.9	10.1.10.1	173.194.163.90	GQUIC	57
383116	56:02.0	173.194.163.90	10.1.10.1	GQUIC	1378
383117	56:02.0	10.1.10.1	173.194.163.90	GQUIC	57
383118	56:03.0	10.1.10.1	173.194.163.87	GQUIC	204
383119	56:03.0	10.1.10.1	173.194.163.103	GQUIC	204
383120	56:03.0	10.1.10.1	74.125.110.138	GQUIC	204
383121	56:03.0	10.1.10.1	173.194.163.90	GQUIC	557
383122	56:03.0	10.1.10.1	173.194.163.87	GQUIC	204
383123	56:03.0	173.194.163.87	10.1.10.1	GQUIC	95
383124	56:03.1	173.194.163.103	10.1.10.1	GQUIC	95
383125	56:03.1	74.125.110.138	10.1.10.1	GQUIC	95
383126	56:03.1	10.1.10.1	173.194.163.87	GQUIC	56
383127	56:03.1	10.1.10.1	173.194.163.90	GQUIC	557
383128	56:03.1	10.1.10.1	173.194.163.103	GQUIC	56
383129	56:03.1	10.1.10.1	74.125.110.138	GQUIC	56
383130	56:03.1	173.194.163.103	10.1.10.1	GQUIC	89
383131	56:03.1	173.194.163.90	10.1.10.1	GQUIC	50
383132	56:03.1	173.194.163.90	10.1.10.1	GQUIC	1378
383133	56:03.1	173.194.163.90	10.1.10.1	GQUIC	1378
383134	56:03.1	173.194.163.90	10.1.10.1	GQUIC	1378
383135	56:03.1	173.194.163.90	10.1.10.1	GQUIC	1378
383136	56:03.1	173.194.163.90	10.1.10.1	GQUIC	1378
383137	56:03.1	173.194.163.90	10.1.10.1	GQUIC	1378
383138	56:03.1	173.194.163.90	10.1.10.1	GQUIC	1378
383139	56:03.1	173.194.163.90	10.1.10.1	GQUIC	1378
383140	56:03.1	173.194.163.90	10.1.10.1	GQUIC	1378
383141	56:03.1	173.194.163.90	10.1.10.1	GQUIC	1378
383142	56:03.1	173.194.163.90	10.1.10.1	GQUIC	1378
383143	56:03.1	173.194.163.90	10.1.10.1	GQUIC	1378
383144	56:03.1	173.194.163.90	10.1.10.1	GQUIC	1378
383145	56:03.1	173.194.163.90	10.1.10.1	GQUIC	1378
383146	56:03.1	173.194.163.90	10.1.10.1	GQUIC	1378
383147	56:03.1	173.194.163.90	10.1.10.1	GQUIC	1378
383148	56:03.1	173.194.163.90	10.1.10.1	GQUIC	1378
383149	56:03.1	173.194.163.90	10.1.10.1	GQUIC	1378
383150	56:03.1	173.194.163.90	10.1.10.1	GQUIC	1378
383151	56:03.1	173.194.163.90	10.1.10.1	GQUIC	1378
383152	56:03.1	173.194.163.90	10.1.10.1	GQUIC	1378
383153	56:03.1	173.194.163.90	10.1.10.1	GQUIC	1378
383154	56:03.1	173.194.163.90	10.1.10.1	GQUIC	1378
383155	56:03.1	173.194.163.90	10.1.10.1	GQUIC	1378
383156	56:03.1	173.194.163.90	10.1.10.1	GQUIC	1378
383157	56:03.1	173.194.163.90	10.1.10.1	GQUIC	1378
383158	56:03.1	173.194.163.90	10.1.10.1	GQUIC	1378
383159	56:03.1	173.194.163.90	10.1.10.1	GQUIC	1378
383160	56:03.1	173.194.163.90	10.1.10.1	GQUIC	1378
383161	56:03.1	173.194.163.90	10.1.10.1	GQUIC	1378
383162	56:03.1	173.194.163.90	10.1.10.1	GQUIC	1378
383163	56:03.1	173.194.163.90	10.1.10.1	GQUIC	1378
383164	56:03.1	173.194.163.90	10.1.10.1	GQUIC	1378
383165	56:03.1	173.194.163.90	10.1.10.1	GQUIC	1378
383166	56:03.1	173.194.163.90	10.1.10.1	GQUIC	1378
383167	56:03.1	173.194.163.90	10.1.10.1	GQUIC	1378
383168	56:03.1	173.194.163.90	10.1.10.1	GQUIC	1378
383169	56:03.1	173.194.163.90	10.1.10.1	GQUIC	1378
383170	56:03.1	173.194.163.90	10.1.10.1	GQUIC	1378
383171	56:03.1	173.194.163.90	10.1.10.1	GQUIC	1378
383172	56:03.1	173.194.163.90	10.1.10.1	GQUIC	1378
383173	56:03.1	173.194.163.90	10.1.10.1	GQUIC	1378
383174	56:03.1	173.194.163.90	10.1.10.1	GQUIC	1378
383175	56:03.1	173.194.163.90	10.1.10.1	GQUIC	1378
383176	56:03.1	173.194.163.90	10.1.10.1	GQUIC	1378
383177	56:03.1	173.194.163.90	10.1.10.1	GQUIC	1378
383178	56:03.1	173.194.163.90	10.1.10.1	GQUIC	1378
383179	56:03.1	173.194.163.90	10.1.10.1	GQUIC	1378
383180	56:03.1	173.194.163.90	10.1.10.1	GQUIC	1378
383181	56:03.1	173.194.163.90	10.1.10.1	GQUIC	1378
383182	56:03.1	173.194.163.90	10.1.10.1	GQUIC	1378
383183	56:03.1	173.194.163.90	10.1.10.1	GQUIC	1378
383184	56:03.1	173.194.163.90	10.1.10.1	GQUIC	1378
383185	56:03.1	173.194.163.90	10.1.10.1	GQUIC	1378
383186	56:03.1	173.194.163.90	10.1.10.1	GQUIC	1378
383187	56:03.1	173.194.163.90	10.1.10.1	GQUIC	1378
383188	56:03.1	173.194.163.90	10.1.10.1	GQUIC	1378
383189	56:03.1	173.194.163.90	10.1.10.1	GQUIC	1378
383190	56:03.1	173.194.163.90	10.1.10.1	GQUIC	1378
383191	56:03.1	173.194.163.90	10.1.10.1	GQUIC	507
383192	56:03.1	10.1.10.1	173.194.163.90	GQUIC	57
383193	56:03.1	10.1.10.1	173.194.163.90	GQUIC	57
383194	56:03.1	10.1.10.1	173.194.163.90	GQUIC	57
383195	56:03.1	10.1.10.1	173.194.163.103	GQUIC	56
383196	56:03.1	10.1.10.1	173.194.163.90	GQUIC	57
383197	56:03.1	10.1.10.1	173.194.163.90	GQUIC	57
383198	56:03.1	10.1.10.1	173.194.163.90	GQUIC	57
383199	56:03.1	10.1.10.1	173.194.163.90	GQUIC	57
383200	56:03.1	173.194.163.87	10.1.10.1	GQUIC	95
383201	56:03.1	173.194.163.90	10.1.10.1	GQUIC	50
383202	56:03.1	173.194.163.90	10.1.10.1	GQUIC	1378
383203	56:03.2	10.1.10.1	173.194.163.90	GQUIC	57
383204	56:03.2	10.1.10.1	173.194.163.87	GQUIC	56
383205	56:04.4	10.1.10.1	173.194.163.90	GQUIC	557
383206	56:04.4	10.1.10.1	173.194.163.90	GQUIC	557
383207	56:04.4	173.194.163.90	10.1.10.1	GQUIC	1378
383208	56:04.4	173.194.163.90	10.1.10.1	GQUIC	1378
383209	56:04.4	173.194.163.90	10.1.10.1	GQUIC	1378
383210	56:04.4	173.194.163.90	10.1.10.1	GQUIC	1378
383211	56:04.4	173.194.163.90	10.1.10.1	GQUIC	1378
383212	56:04.4	10.1.10.1	173.194.163.90	GQUIC	57
383213	56:04.5	173.194.163.90	10.1.10.1	GQUIC	49
383214	56:04.5	173.194.163.90	10.1.10.1	GQUIC	1378
383215	56:04.5	10.1.10.1	173.194.163.90	GQUIC	57
383216	56:04.5	173.194.163.90	10.1.10.1	GQUIC	1378
383217	56:04.5	173.194.163.90	10.1.10.1	GQUIC	1378
383218	56:04.5	173.194.163.90	10.1.10.1	GQUIC	1378
383219	56:04.5	173.194.163.90	10.1.10.1	GQUIC	1378
383220	56:04.5	173.194.163.90	10.1.10.1	GQUIC	1378
383221	56:04.5	173.194.163.90	10.1.10.1	GQUIC	1378
383222	56:04.5	173.194.163.90	10.1.10.1	GQUIC	1378
383223	56:04.5	173.194.163.90	10.1.10.1	GQUIC	1378
383224	56:04.5	173.194.163.90	10.1.10.1	GQUIC	1378
383225	56:04.5	173.194.163.90	10.1.10.1	GQUIC	1378
383226	56:04.5	173.194.163.90	10.1.10.1	GQUIC	1378
383227	56:04.5	173.194.163.90	10.1.10.1	GQUIC	1378
383228	56:04.5	173.194.163.90	10.1.10.1	GQUIC	1378
383229	56:04.5	173.194.163.90	10.1.10.1	GQUIC	1378
383230	56:04.5	173.194.163.90	10.1.10.1	GQUIC	1378
383231	56:04.5	173.194.163.90	10.1.10.1	GQUIC	1378
383232	56:04.5	173.194.163.90	10.1.10.1	GQUIC	1378
383233	56:04.5	173.194.163.90	10.1.10.1	GQUIC	1378
383234	56:04.5	173.194.163.90	10.1.10.1	GQUIC	1378
383235	56:04.5	173.194.163.90	10.1.10.1	GQUIC	1378
383236	56:04.5	173.194.163.90	10.1.10.1	GQUIC	1378
383237	56:04.5	173.194.163.90	10.1.10.1	GQUIC	1378
383238	56:04.5	173.194.163.90	10.1.10.1	GQUIC	1378
383239	56:04.5	173.194.163.90	10.1.10.1	GQUIC	1378
383240	56:04.5	173.194.163.90	10.1.10.1	GQUIC	1378
383241	56:04.5	173.194.163.90	10.1.10.1	GQUIC	1378
383242	56:04.5	173.194.163.90	10.1.10.1	GQUIC	1378
383243	56:04.5	173.194.163.90	10.1.10.1	GQUIC	1378
383244	56:04.5	173.194.163.90	10.1.10.1	GQUIC	1378
383245	56:04.5	173.194.163.90	10.1.10.1	GQUIC	1378
383246	56:04.5	173.194.163.90	10.1.10.1	GQUIC	1378
383247	56:04.5	173.194.163.90	10.1.10.1	GQUIC	1378
383248	56:04.5	173.194.163.90	10.1.10.1	GQUIC	1378
383249	56:04.5	173.194.163.90	10.1.10.1	GQUIC	1378
383250	56:04.5	173.194.163.90	10.1.10.1	GQUIC	1378
383251	56:04.5	173.194.163.90	10.1.10.1	GQUIC	1378
383252	56:04.5	173.194.163.90	10.1.10.1	GQUIC	1378
383253	56:04.5	173.194.163.90	10.1.10.1	GQUIC	1378
383254	56:04.5	173.194.163.90	10.1.10.1	GQUIC	1378
383255	56:04.5	173.194.163.90	10.1.10.1	GQUIC	1378
383256	56:04.5	173.194.163.90	10.1.10.1	GQUIC	1378
383257	56:04.5	173.194.163.90	10.1.10.1	GQUIC	1378
383258	56:04.5	173.194.163.90	10.1.10.1	GQUIC	1378
383259	56:04.5	173.194.163.90	10.1.10.1	GQUIC	1378
383260	56:04.5	173.194.163.90	10.1.10.1	GQUIC	1378
383261	56:04.5	173.194.163.90	10.1.10.1	GQUIC	1378
383262	56:04.5	173.194.163.90	10.1.10.1	GQUIC	1378
383263	56:04.5	173.194.163.90	10.1.10.1	GQUIC	1378
383264	56:04.5	173.194.163.90	10.1.10.1	GQUIC	1378
383265	56:04.5	173.194.163.90	10.1.10.1	GQUIC	1378
383266	56:04.5	173.194.163.90	10.1.10.1	GQUIC	1378
383267	56:04.5	173.194.163.90	10.1.10.1	GQUIC	1378
383268	56:04.5	173.194.163.90	10.1.10.1	GQUIC	1378
383269	56:04.5	173.194.163.90	10.1.10.1	GQUIC	1378
383270	56:04.5	173.194.163.90	10.1.10.1	GQUIC	1378
383271	56:04.5	173.194.163.90	10.1.10.1	GQUIC	1378
383272	56:04.5	173.194.163.90	10.1.10.1	GQUIC	1378
383273	56:04.5	173.194.163.90	10.1.10.1	GQUIC	1378
383274	56:04.5	173.194.163.90	10.1.10.1	GQUIC	1378
383275	56:04.5	173.194.163.90	10.1.10.1	GQUIC	1378
383276	56:04.5	173.194.163.90	10.1.10.1	GQUIC	1378
383277	56:04.5	173.194.163.90	10.1.10.1	GQUIC	1378
383278	56:04.5	173.194.163.90	10.1.10.1	GQUIC	1378
383279	56:04.5	173.194.163.90	10.1.10.1	GQUIC	1378
383280	56:04.5	173.194.163.90	10.1.10.1	GQUIC	1378
383281	56:04.5	173.194.163.90	10.1.10.1	GQUIC	1378
383282	56:04.5	173.194.163.90	10.1.10.1	GQUIC	1378
383283	56:04.5	173.194.163.90	10.1.10.1	GQUIC	1378
383284	56:04.5	173.194.163.90	10.1.10.1	GQUIC	1378
383285	56:04.5	173.194.163.90	10.1.10.1	GQUIC	1378
383286	56:04.5	173.194.163.90	10.1.10.1	GQUIC	1378
383287	56:04.5	173.194.163.90	10.1.10.1	GQUIC	1378
383288	56:04.5	173.194.163.90	10.1.10.1	GQUIC	1378
383289	56:04.5	173.194.163.90	10.1.10.1	GQUIC	1378
383290	56:04.5	173.194.163.90	10.1.10.1	GQUIC	1378
383291	56:04.5	173.194.163.90	10.1.10.1	GQUIC	1378
383292	56:04.5	173.194.163.90	10.1.10.1	GQUIC	1378
383293	56:04.5	173.194.163.90	10.1.10.1	GQUIC	1378
383294	56:04.5	173.194.163.90	10.1.10.1	GQUIC	1378
383295	56:04.5	173.194.163.90	10.1.10.1	GQUIC	1378
383296	56:04.5	173.194.163.90	10.1.10.1	GQUIC	1378
383297	56:04.5	173.194.163.90	10.1.10.1	GQUIC	1378
383298	56:04.5	173.194.163.90	10.1.10.1	GQUIC	1378
