SrNo	Timestamp	Sender's IP	Receiver's IP	Protocol Stack	Packets
829306	12:34.4	173.194.150.201	10.1.10.1	GQUIC	1378
829307	12:34.4	10.1.10.1	173.194.150.201	GQUIC	57
829308	12:34.4	173.194.150.201	10.1.10.1	GQUIC	1378
829309	12:34.4	173.194.150.201	10.1.10.1	GQUIC	1378
829310	12:34.4	173.194.150.201	10.1.10.1	GQUIC	1378
829311	12:34.4	10.1.10.1	173.194.150.201	GQUIC	70
829312	12:34.4	173.194.150.201	10.1.10.1	GQUIC	1378
829313	12:34.4	173.194.150.201	10.1.10.1	GQUIC	1378
829314	12:34.4	173.194.150.201	10.1.10.1	GQUIC	1378
829315	12:34.4	173.194.150.201	10.1.10.1	GQUIC	1378
829316	12:34.4	173.194.150.201	10.1.10.1	GQUIC	1378
829317	12:34.4	173.194.150.201	10.1.10.1	GQUIC	1378
829318	12:34.4	10.1.10.1	173.194.150.201	GQUIC	57
829319	12:34.4	173.194.150.201	10.1.10.1	GQUIC	1378
829320	12:34.4	173.194.150.201	10.1.10.1	GQUIC	1378
829321	12:34.4	173.194.150.201	10.1.10.1	GQUIC	1378
829322	12:34.4	173.194.150.201	10.1.10.1	GQUIC	1378
829323	12:34.4	173.194.150.201	10.1.10.1	GQUIC	1378
829324	12:34.4	173.194.150.201	10.1.10.1	GQUIC	1378
829325	12:34.4	173.194.150.201	10.1.10.1	GQUIC	1378
829326	12:34.4	10.1.10.1	173.194.150.201	GQUIC	57
829327	12:34.4	173.194.150.201	10.1.10.1	GQUIC	1378
829328	12:34.4	173.194.150.201	10.1.10.1	GQUIC	1378
829329	12:34.4	173.194.150.201	10.1.10.1	GQUIC	1378
829330	12:34.4	173.194.150.201	10.1.10.1	GQUIC	1378
829331	12:34.4	173.194.150.201	10.1.10.1	GQUIC	1378
829332	12:34.4	173.194.150.201	10.1.10.1	GQUIC	1378
829333	12:34.4	173.194.150.201	10.1.10.1	GQUIC	1378
829334	12:34.4	173.194.150.201	10.1.10.1	GQUIC	1378
829335	12:34.4	173.194.150.201	10.1.10.1	GQUIC	1378
829336	12:34.4	173.194.150.201	10.1.10.1	GQUIC	1378
829337	12:34.4	173.194.150.201	10.1.10.1	GQUIC	1378
829338	12:34.4	173.194.150.201	10.1.10.1	GQUIC	1378
829339	12:34.4	173.194.150.201	10.1.10.1	GQUIC	1378
829340	12:34.4	173.194.150.201	10.1.10.1	GQUIC	1378
829341	12:34.4	173.194.150.201	10.1.10.1	GQUIC	1378
829342	12:34.4	173.194.150.201	10.1.10.1	GQUIC	1378
829343	12:34.4	173.194.150.201	10.1.10.1	GQUIC	1378
829344	12:34.4	173.194.150.201	10.1.10.1	GQUIC	1378
829345	12:34.4	173.194.150.201	10.1.10.1	GQUIC	1378
